Date,Ticker,Side,Pred_Return_%,XGB_Rank_Score,Daily_Rank_Pct,Strategy_Return,Strategy_Return_%
2025-07-28,QUBT,LONG,2.14,0.0903,99.29,-0.03,-3.0
2025-08-01,URGN,LONG,2.4,0.0933,99.55,0.10160000000000001,10.16
2025-08-01,GH,LONG,4.07,0.0842,99.33,0.12300000000000001,12.3
2025-08-04,MRUS,LONG,2.76,0.0545,96.11,-0.0109,-1.09
2025-08-04,HCTI,LONG,2.29,0.0367,93.45,-0.03,-3.0
2025-08-06,CAPR,LONG,2.39,0.1028,99.64,0.1725,17.25
2025-08-06,USAR,LONG,3.24,0.0938,99.42,0.1153,11.53
2025-08-07,AVPT,LONG,2.13,0.0861,99.24,-0.03,-3.0
2025-08-07,BKSY,LONG,2.98,0.082,99.07,0.0089,0.89
2025-08-08,SRRK,LONG,2.27,0.1489,99.91,0.004199999999999999,0.42
2025-08-08,ACDC,LONG,2.83,0.0734,98.84,-0.00040000000000000105,-0.04
2025-08-11,PL,LONG,2.31,0.1069,99.78,0.05059999999999999,5.06
2025-08-11,PBF,LONG,2.35,0.0856,99.6,0.0264,2.64
2025-08-12,EOSE,LONG,2.07,0.1456,99.82,0.009299999999999998,0.93
2025-08-12,CRWV,LONG,2.69,0.111,99.53,-0.03,-3.0
2025-08-13,HIMS,LONG,2.45,0.1323,99.87,-0.03,-3.0
2025-08-13,REPL,LONG,2.09,0.0216,96.35,0.0312,3.12
2025-08-14,UMAC,LONG,2.27,0.1839,100.0,-0.005,-0.5
2025-08-14,NBIS,LONG,2.88,0.0767,99.55,0.03,3.0
2025-08-20,LUNR,LONG,2.0,0.1276,99.44,0.0349,3.49
2025-08-20,AMPX,LONG,2.71,0.0879,98.62,0.07310000000000001,7.31
2025-08-22,WRD,LONG,2.38,0.0788,98.76,0.053200000000000004,5.32
2025-08-22,PRGS,LONG,2.03,0.0329,94.69,-0.0008999999999999998,-0.09
2025-08-25,CAPR,LONG,2.97,0.0722,98.63,-0.03,-3.0
2025-08-25,AESI,LONG,3.05,0.021,93.31,-0.0134,-1.34
2025-08-27,TLRY,LONG,3.74,0.0552,98.01,-0.03,-3.0
2025-08-27,SGML,LONG,2.33,0.0344,96.68,0.11210000000000002,11.21
2025-09-02,ZIM,LONG,3.17,0.0747,98.98,-0.0182,-1.82
2025-09-02,RUM,LONG,3.65,0.0733,98.87,0.0028000000000000004,0.28
2025-09-04,MNTS,LONG,2.52,0.1083,99.65,-0.03,-3.0
2025-09-04,SEI,LONG,2.26,0.0742,98.67,-0.03,-3.0
2025-09-05,EEFT,LONG,2.37,0.0839,99.38,-0.0078,-0.78
2025-09-05,CNC,LONG,2.4,0.0625,98.72,0.07640000000000001,7.64
2025-09-08,RKLB,LONG,2.04,0.1643,99.96,0.004699999999999999,0.47
2025-09-08,JOBY,LONG,3.28,0.1138,99.69,-0.03,-3.0
2025-09-09,XPEV,LONG,2.01,0.0824,99.38,-0.0134,-1.34
2025-09-09,BEAM,LONG,2.37,0.0589,98.37,0.06400000000000002,6.4
2025-09-10,YPF,LONG,2.78,0.1675,100.0,-0.0155,-1.55
2025-09-10,RBLX,LONG,2.11,0.0855,99.25,-0.004,-0.4
2025-09-11,TIGR,LONG,2.4,0.0415,96.29,-0.03,-3.0
2025-09-11,OXLC,LONG,3.01,0.0134,93.51,-0.0026,-0.26
2025-09-24,IRDM,LONG,2.57,0.042,96.87,-0.0162,-1.62
